"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA","AMOSTRA_DE","CHAVE_AMOSTRA"
"AC","39.471.745/0001-74","69915034","ISENTO","","N","","06","","","UF","AC"
"AC","53.197.427/0001-98","69900433","0108992200182","AMOC","N","","03","","200428608","UF","AC"
"AC","52.012.765/0001-45","69907701","0108795100100","","N","206-2","03","","","UF","AC"
"AC","01.441.462/0001-07","69960000","0100273400122","","N","","03","","","UF","AC"
"AC","40.076.096/0001-96","69900315","0106989700106","","N","206-2","03","","","UF","AC"
"AC","33.806.231/0001-46","69919140","ISENTO","","N","","06","","","UF","AC"
"AC","19.471.163/0001-80","69911781","0105468300101","","N","213-5","03","","","UF","AC"
"AC","33.022.690/0035-88","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","04.563.672/0007-51","69920184","0100425400197","AMOC","N","206-2","03","","200409948","UF","AC"
"AC","30.805.423/0001-40","69918093","0105678200146","","N","","03","","","UF","AC"
"AC","04.749.053/0001-60","69918114","ISENTO","","N","","06","","","UF","AC"
"AC","08.488.130/0001-27","69920193","ISENTO","","N","206-2","06","","","UF","AC"
"AC","38.167.717/0001-03","69900830","0106616000141","AMOC","N","","03","","200417860","UF","AC"
"AC","50.492.342/0001-44","69918172","0108582000124","","N","206-2","03","","","UF","AC"
"AC","50.801.014/0001-82","69918208","ISENTO","","N","","06","","","UF","AC"
"AC","04.583.043/0001-06","69900670","ISENTO","","N","","06","","","UF","AC"
"AC","34.710.855/0001-28","69980000","0100529000187","","N","","03","","","UF","AC"
"AC","08.220.930/0001-62","69915630","0101836500150","","N","206-2","03","","","UF","AC"
"AC","35.489.700/0001-76","69905054","0106260200153","","N","","03","","","UF","AC"
"AC","12.284.168/0001-55","69900658","ISENTO","","N","206-2","06","","","UF","AC"
"AC","04.387.825/0003-23","69921118","0100418800100","","N","","03","","","UF","AC"
"AC","10.345.852/0001-74","69900064","ISENTO","","N","","06","","","UF","AC"
"AC","00.000.000/7657-08","69918099","ISENTO","","S","203-8","06","UNIAO","","UF","AC"
"AC","13.479.881/0001-17","69905274","0109282500138","","N","","03","","","UF","AC"
"AC","33.022.690/0018-87","69945000","ISENTO","","N","","06","","","UF","AC"
"AC","09.228.233/0001-10","69920160","0104269800157","","N","","03","","","UF","AC"
"AC","04.043.949/0001-20","69907701","0100139700192","","N","206-2","03","","","UF","AC"
"AC","32.044.692/0001-66","69940000","ISENTO","","N","","06","","","UF","AC"
"AC","10.584.440/0001-97","69900526","","","N","","04","","","UF","AC"
"AC","84.329.242/0001-13","69905112","0100214700115","","N","","03","","","UF","AC"
"AC","35.711.476/0001-15","69917532","ISENTO","","N","","06","","","UF","AC"
"AC","54.177.355/0001-80","69902744","0109216100143","","N","","03","","","UF","AC"
"AC","10.328.753/0001-84","69918172","0102165200181","AMOC","N","","03","","101458207","UF","AC"
"AC","07.190.927/0001-80","69915176","0101657000145","","N","","03","","","UF","AC"
"AC","07.466.381/0001-48","69919850","0103212200101","","N","","03","","","UF","AC"
"AC","45.415.568/0001-01","69918172","ISENTO","","N","","06","","","UF","AC"
"AC","14.326.951/0001-60","69900688","ISENTO","","N","","06","","","UF","AC"
"AC","33.022.690/0022-63","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","11.610.856/0001-03","69925000","0108176800109","","N","206-2","03","","","UF","AC"
"AC","03.804.862/0003-27","69919015","ISENTO","","N","","06","","","UF","AC"
"AC","22.761.584/0106-28","69934000","0107779200156","ALC","N","205-4","03","","200422766","UF","AC"
"AC","03.885.631/0001-23","69918084","0101077800197","AMOC","N","206-2","03","","200402870","UF","AC"
"AC","17.465.473/0001-67","69918078","ISENTO","","N","223-2","06","","","UF","AC"
"AC","52.215.893/0001-96","69918298","0108824900172","","N","","03","","","UF","AC"
"AC","33.022.690/0034-05","69980000","ISENTO","","N","214-3","06","","","UF","AC"
"AC","57.690.849/0001-51","69919230","0109731800109","","N","206-2","03","","","UF","AC"
"AC","08.191.815/0001-07","69919050","0101840700126","","N","","03","","","UF","AC"
"AC","55.007.638/0001-46","69918268","ISENTO","","N","223-2","06","","","UF","AC"
"AC","04.581.375/0001-43","69918700","ISENTO","","S","102-3","06","","","UF","AC"
"AC","34.707.141/0001-60","69932000","ISENTO","","N","","06","","","UF","AC"
"AC","06.021.515/0001-54","69980000","0101512000144","","N","","03","","","UF","AC"
"AC","27.242.861/0002-13","69906119","0105178800217","","N","206-2","03","","","UF","AC"
"AC","30.230.785/0001-50","69905052","0105595900132","","N","","03","","","UF","AC"
"AC","34.703.835/0004-72","69918216","0100991400441","","N","206-2","03","","","UF","AC"
"AC","40.275.785/0001-20","69900300","ISENTO","","N","","06","","","UF","AC"
"AC","02.941.990/0009-45","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","01.160.009/0001-22","69980000","ISENTO","","N","303-4","06","","","UF","AC"
"AC","06.987.995/0001-02","69900658","0101615200111","","N","206-2","03","","","UF","AC"
"AC","14.779.039/0001-63","69925000","0103205200100","","N","","03","","","UF","AC"
"AC","33.022.690/0032-35","69900070","ISENTO","","N","","06","","","UF","AC"
"AC","02.799.522/0001-20","69918578","0101214000154","","N","206-2","03","","","UF","AC"
"AC","22.968.857/0001-32","69915370","0104610900128","","N","","03","","","UF","AC"
"AC","35.873.284/0001-05","69901546","ISENTO","","N","206-2","06","","","UF","AC"
"AC","04.070.751/0001-35","69900072","0100106900150","","N","206-2","03","","","UF","AC"
"AC","28.400.672/0001-03","69900363","ISENTO","","N","","06","","","UF","AC"
"AC","11.467.937/0001-98","69900550","ISENTO","","N","","06","","","UF","AC"
"AC","03.033.345/0001-30","69900830","0100310500156","","N","","03","","","UF","AC"
"AC","04.003.224/0001-08","69900132","ISENTO","","N","399-9","06","","","UF","AC"
"AC","04.814.502/0001-07","69909640","0101276700141","AMOC","N","214-3","03","","200405608","UF","AC"
"AC","08.893.457/0005-08","69906214","0106671500100","","N","206-2","03","","","UF","AC"
"AC","04.378.099/0001-10","69900670","ISENTO","","N","307-7","06","","","UF","AC"
"AC","30.756.459/0001-80","69915443","0107996200146","AMOC","N","206-2","03","","200425285","UF","AC"
"AC","21.653.069/0001-94","69905030","ISENTO","","N","","06","","","UF","AC"
"AC","55.383.827/0001-13","69919056","ISENTO","","N","","06","","","UF","AC"
"AC","06.265.737/0001-12","69906210","0101562300192","","N","","03","","","UF","AC"
"AC","00.000.000/1410-97","69970000","ISENTO","","S","203-8","06","UNIAO","","UF","AC"
"AC","42.548.035/0003-71","69923000","ISENTO","AMOC","N","205-4","06","","200424181","UF","AC"
"AC","00.000.000/2479-10","69940000","ISENTO","","S","203-8","06","UNIAO","","UF","AC"
"AC","17.031.812/0001-05","69918326","0103560000171","","N","","03","","","UF","AC"
"AC","49.609.385/0002-69","69980000","ISENTO","","N","206-2","06","","","UF","AC"
"AC","22.761.584/0111-95","69900132","0107783100160","","N","205-4","03","","","UF","AC"
"AC","10.940.181/0001-90","69905006","0102227600170","","N","","03","","","UF","AC"
"AC","13.606.658/0001-93","69980000","ISENTO","","N","206-2","06","","","UF","AC"
"AC","13.543.599/0001-51","69900715","ISENTO","","N","206-2","06","","","UF","AC"
"AC","10.313.079/0001-64","69980000","0102113600120","","N","206-2","03","","","UF","AC"
"AC","22.555.575/0001-03","69934000","0104546400107","ALC","N","206-2","03","","200400282","UF","AC"
"AC","03.912.598/0001-83","69900640","ISENTO","","N","","06","","","UF","AC"
"AC","04.063.681/0001-98","69900854","0100147200160","AMOC","N","204-6","03","","200407325","UF","AC"
"AC","34.195.690/0001-01","69911683","0106115400180","","N","206-2","03","","","UF","AC"
"AC","02.646.829/0001-91","68902280","0100534200105","","N","","06","","","UF","AC"
"AC","28.185.682/0001-73","69918894","ISENTO","AMOC","N","","06","","200428802","UF","AC"
"AC","33.286.510/0001-26","69905058","ISENTO","","N","","06","","","UF","AC"
"AC","40.310.413/0001-97","69918578","0107012200127","","N","","03","","","UF","AC"
"AC","26.297.053/0001-00","69901355","0105026900197","","N","","03","","","UF","AC"
"AC","02.558.157/0023-78","69905022","0101363100177","AMOC","N","204-6","03","","200400576","UF","AC"
"AC","04.521.258/0001-94","69905062","0100104700153","AMOC","N","","03","","200402650","UF","AC"
"AC","04.199.086/0001-84","69918500","0107876500100","","N","206-2","03","","","UF","AC"
"AC","04.969.821/0001-91","69919056","ISENTO","","N","","06","","","UF","AC"
"AC","84.330.315/0001-97","69918308","ISENTO","","N","","06","","","UF","AC"
"AC","16.920.620/0001-89","69934000","0103557300119","ALC","N","206-2","03","","200405721","UF","AC"
"AL","52.535.498/0001-90","57150000","241137632","","N","206-2","03","","","UF","AL"
"AL","20.389.496/0001-44","57051160","ISENTO","","N","","06","","","UF","AL"
"AL","36.214.071/0001-34","57036510","ISENTO","","N","","06","","","UF","AL"
"AL","16.918.665/0001-19","57022230","ISENTO","","N","205-4","06","","","UF","AL"
"AL","54.310.550/0001-36","57052480","241223920","","N","206-2","03","","","UF","AL"
"AL","19.034.298/0001-89","57035180","ISENTO","","N","206-2","06","","","UF","AL"
"AL","20.798.838/0001-80","57045230","244110492","","N","206-2","03","","","UF","AL"
"AL","24.654.991/0001-94","57314105","ISENTO","","N","","06","","","UF","AL"
"AL","35.548.820/0001-05","57100000","243272286","","N","206-2","03","","","UF","AL"
"AL","34.095.704/0001-07","57035680","243790082","","N","","03","","","UF","AL"
"AL","35.538.813/0001-14","57037532","ISENTO","","N","","06","","","UF","AL"
"AL","48.976.924/0001-54","57300070","ISENTO","","N","","06","","","UF","AL"
"AL","27.538.091/0001-70","57035700","ISENTO","","N","","06","","","UF","AL"
"AL","41.180.092/0013-50","57045365","ISENTO","","N","214-3","06","","","UF","AL"
"AL","00.000.000/7669-41","57020913","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","12.711.252/0001-08","57015430","ISENTO","","N","","06","","","UF","AL"
"AL","10.811.677/0001-63","57035000","240715837","","N","","03","","","UF","AL"
"AL","00.000.000/2845-21","57100000","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","43.752.470/0001-14","57035400","240189531","","N","206-2","03","","","UF","AL"
"AL","00.000.000/1755-87","57020913","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","23.881.652/0001-88","57048025","244494797","","N","206-2","03","","","UF","AL"
"AL","02.895.028/0001-60","57300800","240954220","","N","","03","","","UF","AL"
"AL","07.185.771/0001-40","57036380","ISENTO","","N","206-2","06","","","UF","AL"
"AL","05.517.089/0002-62","57036620","242294626","","N","206-2","03","","","UF","AL"
"AL","33.200.056/0346-39","57032901","240968395","","N","205-4","03","","","UF","AL"
"AL","00.000.000/4978-60","57300070","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","02.493.000/0001-04","57022180","ISENTO","","N","214-3","06","","","UF","AL"
"AL","12.318.333/0001-42","57010070","ISENTO","","N","","06","","","UF","AL"
"AL","08.850.825/0001-07","57037532","241072158","","N","206-2","03","","","UF","AL"
"AL","34.436.861/0002-10","57046000","ISENTO","","N","","06","","","UF","AL"
"AL","12.607.842/0001-95","57100000","240056558","","N","205-4","03","","","UF","AL"
"AL","53.954.501/0001-73","57036001","ISENTO","","N","215-1","06","","","UF","AL"
"AL","01.864.858/0006-71","57052400","ISENTO","","N","","06","","","UF","AL"
"AL","01.888.146/0001-88","57035700","241068819","","N","","03","","","UF","AL"
"AL","41.555.150/0001-49","57030107","ISENTO","","N","206-2","06","","","UF","AL"
"AL","21.821.278/0001-08","57311040","244187029","","N","","03","","","UF","AL"
"AL","10.853.392/0001-95","57022180","ISENTO","","N","206-2","06","","","UF","AL"
"AL","02.143.828/0001-24","57780000","240925742","","N","206-2","03","","","UF","AL"
"AL","41.290.881/0001-00","57036670","ISENTO","","N","","06","","","UF","AL"
"AL","14.937.103/0001-97","57030170","242625550","","N","206-2","03","","","UF","AL"
"AL","00.000.000/0013-25","57057450","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","12.489.837/0001-25","57300011","ISENTO","","N","","06","","","UF","AL"
"AL","34.802.912/0001-07","57036510","240450051","","N","206-2","03","","","UF","AL"
"AL","09.276.767/0001-12","57036370","ISENTO","","N","206-2","06","","","UF","AL"
"AL","49.002.245/0001-47","57051190","ISENTO","","N","","06","","","UF","AL"
"AL","16.569.347/0001-90","57935000","242705740","","N","","03","","","UF","AL"
"AL","12.711.339/0001-85","57200000","246001968","","N","213-5","03","","","UF","AL"
"AL","11.396.258/0001-75","57036640","ISENTO","","N","","06","","","UF","AL"
"AL","00.000.000/4674-48","57330000","ISENTO","","S","203-8","06","UNIAO","","UF","AL"
"AL","12.450.409/0001-99","57020260","ISENTO","","N","313-1","06","","","UF","AL"
"AL","06.057.223/0384-97","57308532","247862355","","N","","03","","","UF","AL"
"AL","12.274.379/0006-11","57038640","ISENTO","","N","","06","","","UF","AL"
"AL","57.464.832/0001-86","57305495","ISENTO","","N","","06","","","UF","AL"
"AL","49.981.661/0001-34","57490000","ISENTO","","N","","06","","","UF","AL"
"AL","08.607.975/0001-94","57046340","ISENTO","","N","","06","","","UF","AL"
"AL","03.316.647/0001-15","57037532","ISENTO","","N","223-2","06","","","UF","AL"
"AL","43.216.884/0001-29","57051565","240153510","","N","206-2","03","","","UF","AL"
"AL","28.458.178/0001-08","57057260","ISENTO","","N","213-5","06","","","UF","AL"
"AL","05.074.835/0001-00","57230000","241020220","","N","206-2","03","","","UF","AL"
"AL","07.224.991/0011-07","57048025","242501648","","N","206-2","03","","","UF","AL"
"AL","11.421.889/0001-05","57081000","242215653","","N","","03","","","UF","AL"
"AL","30.972.207/0001-99","57460000","247692700","","N","206-2","03","","","UF","AL"
"AL","03.730.875/0001-37","57036001","ISENTO","","N","223-2","06","","","UF","AL"
"AL","15.405.986/0001-57","57084311","240126653","","N","213-5","03","","","UF","AL"
"AL","04.922.352/0001-55","57037630","ISENTO","","N","206-2","06","","","UF","AL"
"AL","02.709.449/0060-09","57022150","241000645","","N","205-4","03","","","UF","AL"
"AL","17.003.116/0001-87","57022065","ISENTO","","N","","06","","","UF","AL"
"AL","07.811.608/0001-45","57039700","241063540","","N","206-2","06","","","UF","AL"
"AL","20.277.884/0002-14","57690000","244459290","","N","","03","","","UF","AL"
"AL","12.319.067/0001-72","57022180","ISENTO","","N","","06","","","UF","AL"
"AL","04.427.880/0001-38","57500000","246003154","","N","206-2","03","","","UF","AL"
"AL","12.683.326/0001-40","57030170","242381650","","N","206-2","03","","","UF","AL"
"AL","00.390.664/0001-04","57100000","240964136","","N","","06","","","UF","AL"
"AL","83.475.913/0040-06","57160000","242767486","","N","204-6","03","","","UF","AL"
"AL","26.688.691/0001-51","57360000","ISENTO","","N","206-2","06","","","UF","AL"
"AL","53.056.744/0001-94","57057490","ISENTO","","N","206-2","06","","","UF","AL"
"AL","18.240.251/0001-09","57020440","ISENTO","","N","223-2","06","","","UF","AL"
"AL","40.706.714/0001-34","57038000","243884400","","N","206-2","03","","","UF","AL"
"AL","02.370.536/0001-24","57051590","240933605","","N","206-2","03","","","UF","AL"
"AL","04.396.985/0001-77","57051565","ISENTO","","N","","06","","","UF","AL"
"AL","02.347.223/0001-55","57036001","ISENTO","","N","","06","","","UF","AL"
"AL","45.173.216/0001-97","57085160","ISENTO","","N","206-2","06","","","UF","AL"
"AL","47.698.532/0001-08","57030680","ISENTO","","N","","06","","","UF","AL"
"AL","35.841.028/0001-36","57303788","ISENTO","","N","","06","","","UF","AL"
"AL","06.083.293/0001-02","57600120","246012897","","N","206-2","03","","","UF","AL"
"AL","05.194.406/0001-76","57051190","241021251","","N","","03","","","UF","AL"
"AL","15.079.873/0001-09","57051410","ISENTO","","N","","06","","","UF","AL"
"AL","06.094.936/0001-05","57945000","248529013","","N","206-2","03","","","UF","AL"
"AL","17.541.108/0001-94","57052835","ISENTO","","N","","06","","","UF","AL"
"AL","51.321.533/0001-06","57037532","ISENTO","","N","","06","","","UF","AL"
"AL","41.214.219/0001-70","57035060","243948484","","N","206-2","06","","","UF","AL"
"AL","08.839.513/0001-00","57022180","ISENTO","","N","223-2","06","","","UF","AL"
"AL","04.175.211/0001-16","57035020","ISENTO","","N","","06","","","UF","AL"
"AL","49.331.040/0001-05","57036640","ISENTO","","N","","06","","","UF","AL"
"AL","26.623.846/0001-71","57030107","ISENTO","","N","","06","","","UF","AL"
"AL","24.174.070/0001-24","57035670","ISENTO","","N","","06","","","UF","AL"
"AL","40.831.644/0024-32","57955000","ISENTO","","N","","06","","","UF","AL"
"AL","08.113.982/0001-30","57480000","246020148","","N","206-2","03","","","UF","AL"
"AL","02.126.268/0001-08","57180000","240936370","","N","","03","","","UF","AL"
"AL","00.364.220/0001-02","57035780","ISENTO","","N","","06","","","UF","AL"
"AM","47.358.850/0001-20","69010170","054484693","","N","","03","","","UF","AM"
"AM","22.761.584/0195-01","69058415","054537266","","N","","03","","","UF","AM"
"AM","23.721.278/0001-53","69090299","ISENTO","","N","","06","","","UF","AM"
"AM","03.688.300/0001-01","02167010","054323320","","N","206-2","03","","","UF","AM"
"AM","04.565.230/0001-59","69053100","041010124","","N","205-4","03","","","UF","AM"
"AM","27.720.570/0001-02","69054691","053982673","ZFM","N","","03","","200173227","UF","AM"
"AM","05.531.223/0001-07","69053380","041239172","","N","206-2","03","","","UF","AM"
"AM","00.000.000/7376-82","69057030","ISENTO","","S","203-8","06","UNIAO","","UF","AM"
"AM","07.532.752/0001-42","69057030","042151147","","N","206-2","03","","","UF","AM"
"AM","14.128.336/0001-49","69050010","ISENTO","","N","399-9","06","","","UF","AM"
"AM","03.642.197/0001-50","69073177","ISENTO","","N","","06","","","UF","AM"
"AM","09.003.057/0001-19","69010160","ISENTO","","N","206-2","06","","","UF","AM"
"AM","24.026.605/0001-10","69067450","054037840","","N","213-5","03","","","UF","AM"
"AM","10.983.300/0001-91","69067180","042353653","","N","","03","","","UF","AM"
"AM","40.973.162/0001-20","69097224","054288835","","N","213-5","03","","","UF","AM"
"AM","41.280.477/0002-36","69053000","054370590","ZFM","N","206-2","03","","210163330","UF","AM"
"AM","33.721.810/0001-96","69057060","ISENTO","","N","","06","","","UF","AM"
"AM","04.486.759/0001-87","69040690","041652797","","N","206-2","03","","","UF","AM"
"AM","05.553.531/0001-25","69093018","062000497","ZFM","N","206-2","03","","200105442","UF","AM"
"AM","05.460.308/0001-33","69079265","ISENTO","","N","206-2","06","","","UF","AM"
"AM","04.623.300/0001-88","69065030","","","N","","04","","","UF","AM"
"AM","08.862.530/0005-84","69075000","062006142","","N","206-2","03","","","UF","AM"
"AM","84.534.924/0001-68","69058827","063001470","ZFM","N","206-2","03","","200129503","UF","AM"
"AM","57.242.030/0001-21","69038015","054720192","ZFM","N","","03","","220137927","UF","AM"
"AM","15.066.466/0001-67","69058125","ISENTO","","N","206-2","06","","","UF","AM"
"AM","10.988.014/0010-00","69035090","042353106","","N","","03","","","UF","AM"
"AM","04.571.587/0001-40","69057050","062002104","","N","206-2","03","","","UF","AM"
"AM","10.808.037/0001-02","69057250","ISENTO","","N","214-3","06","","","UF","AM"
"AM","08.453.462/0001-76","69057078","053193431","","N","206-2","03","","","UF","AM"
"AM","29.878.773/0001-57","69057000","ISENTO","","N","","06","","","UF","AM"
"AM","04.454.120/0006-24","69093415","063901110","ZFM","N","","03","","","UF","AM"
"AM","02.542.460/0001-77","69060063","ISENTO","","N","","06","","","UF","AM"
"AM","01.671.187/0001-18","69020670","ISENTO","","S","107-4","06","","","UF","AM"
"AM","37.590.328/0001-15","69057040","ISENTO","","N","","06","","","UF","AM"
"AM","84.664.721/0001-96","69058830","ISENTO","","N","399-9","06","","","UF","AM"
"AM","10.979.612/0001-21","69085288","054612691","","N","","03","","","UF","AM"
"AM","27.501.555/0001-73","69050055","053901932","","N","","03","","","UF","AM"
"AM","18.718.109/0001-24","69050010","ISENTO","","N","206-2","06","","","UF","AM"
"AM","26.508.733/0001-25","69057002","ISENTO","","N","206-2","06","","","UF","AM"
"AM","05.902.794/0001-00","69117000","042102251","","N","","03","","","UF","AM"
"AM","13.918.970/0001-12","69098165","ISENTO","","N","","06","","","UF","AM"
"AM","03.632.872/0045-81","69800000","ISENTO","","N","","06","","","UF","AM"
"AM","04.342.148/0003-27","69025000","042209994","","N","","03","","","UF","AM"
"AM","41.280.477/0012-08","69036110","054370531","","N","206-2","03","","210160659","UF","AM"
"AM","10.792.928/0017-77","69415000","","","N","","04","","","UF","AM"
"AM","92.741.990/0041-24","69040040","ISENTO","ZFM","N","399-9","06","","200113089","UF","AM"
"AM","11.200.726/0011-66","69090002","042311047","","N","","03","","","UF","AM"
"AM","00.000.000/2013-32","69053000","ISENTO","","S","203-8","06","UNIAO","","UF","AM"
"AM","84.107.697/0001-94","69070620","062002279","","N","","03","","","UF","AM"
"AM","57.553.137/0001-90","69050902","54712335","","N","","03","","","UF","AM"
"AM","00.462.691/0008-11","69079130","42915490","","N","","04","","","UF","AM"
"AM","52.454.339/0001-61","69007430","063012375","ZFM","N","","03","","220110336","UF","AM"
"AM","12.058.518/0001-65","69005140","042281407","","N","206-2","03","","","UF","AM"
"AM","17.580.326/0001-38","69075000","063008220","","N","230-5","03","","","UF","AM"
"AM","00.450.879/0001-73","69025180","041318706","","N","206-2","03","","","UF","AM"
"AM","26.225.999/0001-60","69020130","053843940","","N","","03","","","UF","AM"
"AM","05.970.054/0001-01","69065180","042107911","","N","206-2","03","","","UF","AM"
"AM","00.712.779/0001-78","69063510","ISENTO","ZFM","N","","06","","200166131","UF","AM"
"AM","41.126.965/0001-02","69054266","054292751","","N","","03","","","UF","AM"
"AM","05.878.397/0008-09","69057002","ISENTO","","N","204-6","06","","","UF","AM"
"AM","36.967.328/0001-29","69057002","054186048","","N","","03","","","UF","AM"
"AM","00.000.000/4114-93","69057000","ISENTO","","S","203-8","06","UNIAO","","UF","AM"
"AM","30.325.380/0001-03","69042150","ISENTO","","N","","06","","","UF","AM"
"AM","22.761.584/0196-84","69280000","054537347","","N","","03","","","UF","AM"
"AM","04.251.259/0001-66","69065020","ISENTO","","N","","06","","","UF","AM"
"AM","36.958.203/0001-32","69037000","ISENTO","","N","","06","","","UF","AM"
"AM","09.228.291/0001-44","69060084","ISENTO","ZFM","N","206-2","03","","","UF","AM"
"AM","49.708.060/0001-52","69017230","054545706","","N","","03","","","UF","AM"
"AM","45.388.974/0001-22","69021005","054428718","","N","","03","","","UF","AM"
"AM","08.983.700/0001-55","69040230","ISENTO","","N","","06","","","UF","AM"
"AM","33.194.223/0001-96","69058411","054278651","","N","","03","","","UF","AM"
"AM","11.573.657/0001-64","69020000","ISENTO","","N","","06","","","UF","AM"
"AM","84.481.373/0001-11","69084049","ISENTO","","N","","06","","","UF","AM"
"AM","04.509.499/0001-18","69151000","041484045","","N","213-5","03","","","UF","AM"
"AM","51.217.833/0001-40","69050000","ISENTO","","N","","06","","","UF","AM"
"AM","60.701.521/0030-32","69040035","","","N","","04","","","UF","AM"
"AM","03.575.492/0001-31","69048191","054382467","","N","","03","","","UF","AM"
"AM","33.161.839/0001-60","69060000","054577608","","N","","03","","","UF","AM"
"AM","09.535.729/0001-37","69800000","ISENTO","","N","","06","","","UF","AM"
"AM","12.796.590/0001-90","69036520","063006952","","N","206-2","03","","","UF","AM"
"AM","63.640.908/0001-80","69010305","041122038","ZFM","N","206-2","03","","200146807","UF","AM"
"AM","00.000.000/4565-94","69010080","ISENTO","","S","203-8","06","UNIAO","","UF","AM"
"AM","33.608.308/0005-05","69053100","ISENTO","","N","","06","","","UF","AM"
"AM","07.577.947/0001-09","69010020","ISENTO","","N","","06","","","UF","AM"
"AM","52.476.402/0001-60","69054739","ISENTO","","N","","06","","","UF","AM"
"AM","09.675.751/0007-78","69058250","054674557","","N","206-2","03","","","UF","AM"
"AM","34.579.060/0001-22","69045170","041111281","ZFM","N","","03","","200120972","UF","AM"
"AM","07.244.008/0002-23","69060020","041560213","","N","205-4","03","","","UF","AM"
"AM","23.040.199/0001-87","69058807","ISENTO","","N","","06","","","UF","AM"
"AM","42.885.691/0001-06","69082230","054351855","","N","206-2","03","","","UF","AM"
"AM","08.900.798/0004-82","69058170","053929020","","N","","03","","","UF","AM"
"AM","84.657.907/0001-18","69075000","063000474","","N","","03","","","UF","AM"
"AM","09.084.119/0001-64","69075020","062005685","ZFM","N","206-2","03","","200139215","UF","AM"
"AM","10.667.623/0001-76","69057002","042928036","","N","206-2","03","","","UF","AM"
"AM","08.813.540/0005-20","69050055","054342333","","N","206-2","03","","","UF","AM"
"AM","10.764.346/0001-10","69022174","ISENTO","","N","","06","","","UF","AM"
"AM","47.401.389/0001-40","69057001","ISENTO","","N","","06","","","UF","AM"
"AM","24.929.312/0001-42","69078000","053798686","","N","206-2","03","","","UF","AM"
"AM","04.894.544/0001-03","69093770","041502213","ZFM","N","206-2","03","","200125281","UF","AM"
"AM","84.110.394/0001-20","69075000","041224396","","N","206-2","03","","","UF","AM"
"AP","14.505.945/0001-70","68909899","030043714","","N","","03","","","UF","AP"
"AP","03.597.899/0001-60","68902080","ISENTO","","N","","06","","","UF","AP"
"AP","02.618.351/0001-96","68902880","ISENTO","","N","","06","","","UF","AP"
"AP","26.331.029/0001-40","68900083","030598710","","N","","06","","","UF","AP"
"AP","34.872.127/0001-12","68900081","ISENTO","","N","313-1","06","","","UF","AP"
"AP","83.506.030/0021-45","68901901","ISENTO","","N","","06","","","UF","AP"
"AP","10.344.361/0001-09","68901260","030327784","ALC","N","","03","","201100479","UF","AP"
"AP","18.965.796/0001-82","68911120","030472563","","N","206-2","03","","","UF","AP"
"AP","34.531.686/0003-20","68901341","030646189","","N","206-2","03","","","UF","AP"
"AP","10.214.998/0001-80","68928196","030652430","","N","","03","","","UF","AP"
"AP","04.232.770/0001-10","68902110","030230071","","N","","03","","","UF","AP"
"AP","07.594.978/0586-80","68908120","ISENTO","","N","204-6","06","","","UF","AP"
"AP","34.870.576/0001-21","68900082","","","N","","04","","","UF","AP"
"AP","17.200.920/0001-56","68915000","030464889","","N","","03","","","UF","AP"
"AP","14.520.829/0001-20","68902865","030045156","","N","206-2","03","","","UF","AP"
"AP","10.675.812/0001-90","68902180","ISENTO","","N","399-9","06","","","UF","AP"
"AP","45.722.817/0002-92","68902650","030752833","","N","206-2","03","","","UF","AP"
"AP","26.246.472/0001-12","68901080","ISENTO","","N","","06","","","UF","AP"
"AP","11.639.985/0001-16","68900082","030354641","","N","206-2","03","","","UF","AP"
"AP","35.485.409/0001-20","68908200","030620988","ALC","N","206-2","03","","201120631","UF","AP"
"AP","03.592.977/0001-33","68900115","ISENTO","","N","307-7","06","","","UF","AP"
"AP","40.923.664/0001-47","68900074","030676665","","N","206-2","03","","","UF","AP"
"AP","15.486.718/0001-07","68900071","030436940","","N","","06","","","UF","AP"
"AP","40.788.274/0001-01","68903431","ISENTO","","N","","06","","","UF","AP"
"AP","56.222.985/0001-54","68901025","ISENTO","","N","206-2","06","","","UF","AP"
"AP","20.102.605/0001-09","68901280","ISENTO","","N","","06","","","UF","AP"
"AP","14.512.073/0001-77","68900090","030043510","","N","206-2","03","","","UF","AP"
"AP","11.808.224/0002-21","00000000","030467373","ALC","N","206-2","03","","201135728","UF","AP"
"AP","02.000.309/0001-07","68906801","030203007","","N","","03","","","UF","AP"
"AP","34.945.388/0001-15","68900082","ISENTO","","N","213-5","06","","","UF","AP"
"AP","57.317.313/0001-95","68906301","030777658","","N","206-2","03","","","UF","AP"
"AP","00.000.000/5177-20","68902865","ISENTO","","S","203-8","06","UNIAO","","UF","AP"
"AP","05.436.047/0015-11","68900116","ISENTO","","N","205-4","06","","","UF","AP"
"AP","51.675.698/0001-86","68900015","ISENTO","","N","","06","","","UF","AP"
