"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA"
"PR","29.358.569/0001-05","83203060","ISENTO","","N","","06","",""
"RJ","02.148.467/0001-09","21941570","78103272","","N","","03","",""
"RJ","19.390.374/0001-99","22430060","ISENTO","","N","206-2","06","",""
"RS","09.202.940/0001-38","98385000","3540003594","","N","206-2","03","",""
"RS","00.000.000/0371-92","98700000","ISENTO","","S","203-8","06","UNIAO",""
"SP","07.376.456/0001-08","09725460","635514691113","","N","206-2","03","",""
"SP","13.318.529/0001-08","08582500","379076526115","","N","206-2","03","",""
"RN","57.992.065/0001-88","59132340","ISENTO","","N","","06","",""
"SC","78.986.700/0001-94","89203502","251461610","","N","","03","",""
"BA","04.208.093/0001-03","43700000","054485112","","N","","03","",""
"SP","08.700.424/0001-70","01135010","149612924119","","N","206-2","03","",""
"SP","14.014.040/0001-05","18048100","669421162118","","N","206-2","03","",""
"ES","04.484.321/0001-60","29103300","082103100","","N","206-2","03","",""
"PR","17.456.852/0001-90","83733150","9061971545","","N","","03","",""
"MG","00.641.174/0001-33","31130020","0621654180008","","N","206-2","03","",""
"RS","23.491.060/0002-30","93035084","1240332510","","N","206-2","03","",""
"SP","26.907.814/0001-06","12226383","ISENTO","","N","","06","",""
"MG","17.351.180/0001-59","38400694","ISENTO","","N","","06","",""
"SP","61.451.712/0001-11","06423080","ISENTO","","N","206-2","06","",""
"RJ","03.670.763/0001-38","22775002","77179011","","N","205-4","03","",""
"CE","37.253.847/0002-79","60150161","ISENTO","","N","","06","",""
"MA","23.283.472/0001-02","65075040","ISENTO","","N","","06","",""
"SP","05.446.239/0001-03","01139000","ISENTO","","N","223-2","06","",""
"PR","05.950.609/0001-45","85301050","9029178027","","N","206-2","03","",""
"MT","05.020.986/0002-66","78450000","136372112","","N","","03","",""
"RJ","02.934.622/0001-12","22461000","ISENTO","","N","399-9","06","",""
"PR","07.048.188/0001-97","82820460","9033639403","","N","","06","",""
"SP","07.689.002/0030-13","12237540","132651160116","","N","204-6","03","",""
"SP","10.687.942/0001-43","12401020","ISENTO","","N","224-0","06","",""
"SP","00.000.000/1053-76","15910000","ISENTO","","S","203-8","06","UNIAO",""
"ES","07.838.860/0001-48","29026010","082621896","","N","","03","",""
"ES","28.126.928/0001-36","29018190","080256724","","N","","03","",""
"SC","05.854.280/0001-19","89035200","ISENTO","","N","223-2","06","",""
"SP","39.714.922/0001-04","14010030","797665300115","","N","","03","",""
"ES","11.137.051/0965-15","29015330","084395729","","N","","03","",""
"CE","07.265.515/0001-62","60430235","ISENTO","","N","399-9","06","",""
"SP","04.728.228/0001-53","01419002","116276386114","RET107","N","","03","",""
"ES","39.786.983/0017-36","29706607","083529284","","N","","03","",""
"DF","03.766.873/0001-06","70306902","0740933100179","","N","","06","",""
"TO","49.777.586/0001-94","77803060","295554428","","N","","03","",""
"SP","38.733.648/0052-90","01418002","ISENTO","","N","","06","",""
"RJ","01.201.436/0001-01","22221020","ISENTO","","N","206-2","06","",""
"BA","08.562.883/0001-35","45810000","ISENTO","","N","206-2","06","",""
"ES","39.635.362/0001-94","29175266","ISENTO","","N","","06","",""
"MG","26.165.746/0001-49","36204336","0566461750038","","N","","03","",""
"AC","10.940.181/0001-90","69905006","0102227600170","","N","","03","",""
"BA","53.400.248/0010-05","06764290","117584446","","N","205-4","03","",""
"RS","16.561.401/0001-50","95750000","2210014136","","N","206-2","03","",""
"SP","33.667.526/0001-89","13255472","ISENTO","","N","","06","",""
"SP","66.848.086/0001-15","09210260","121442713119","","N","","03","",""
"SC","85.275.360/0001-59","89205000","ISENTO","","N","","06","",""
"GO","61.585.865/2402-09","75093670","107885867","","N","","03","",""
"SP","11.256.147/0001-63","11060003","ISENTO","","N","205-4","06","",""
"RS","12.507.681/0001-68","95770000","0470022108","","N","","03","",""
"SC","83.799.536/0001-46","89010920","ISENTO","","N","","06","",""
"RO","07.203.028/0001-75","76932000","00000001349325","AMOC","N","206-2","03","","200808281"
"SP","39.325.945/0001-19","04915065","129835040110","","N","","03","",""
"MT","14.953.277/0001-43","78896072","131161164","","N","206-2","03","",""
"GO","17.398.318/0001-75","75915000","105657360","","N","","03","",""
"ES","31.538.482/0001-61","29102310","083510770","","N","","06","",""
"DF","11.777.162/0001-57","70333900","0760596900110","","N","","06","",""
"AM","04.193.033/0001-56","69109899","041529081","AMOC","N","206-2","03","","200200542"
"RS","25.008.754/0001-19","95720000","ISENTO","","N","223-2","06","",""
"TO","10.572.068/0001-07","77320000","294137866","","N","","03","",""
"DF","03.117.224/0001-76","71625009","0798616500128","","N","","06","",""
"SP","04.681.164/0001-82","13508500","587254723113","","N","","03","",""
"PR","07.059.864/0001-28","80710150","ISENTO","","N","","06","",""
"PA","45.113.151/0001-94","68552695","ISENTO","","N","206-2","06","",""
"MG","01.727.929/0015-85","38702054","ISENTO","","N","214-3","06","",""
"SC","40.107.324/0001-48","89245000","260836060","","N","206-2","03","",""
"RJ","60.579.996/0001-63","27910362","15476370","","N","206-2","03","",""
"ES","19.791.896/0052-42","29168077","080913040","","N","206-2","03","",""
"SP","02.505.153/0001-16","13193580","465012034110","","N","","06","",""
"MG","42.837.716/0001-98","35903053","3178096680056","","N","","03","",""
"PR","82.394.099/0003-80","85770000","9112020699","","N","206-2","03","",""
"RJ","34.749.735/0001-34","20765000","ISENTO","","N","223-2","06","",""
"BA","08.947.399/0001-24","41770790","ISENTO","","N","206-2","06","",""
"SP","62.348.875/0001-36","05002070","ISENTO","","N","","06","",""
"SP","62.792.718/0001-15","05417000","ISENTO","","N","","06","",""
"RS","25.098.663/0001-11","90430000","ISENTO","","N","206-2","06","",""
"SP","13.064.871/0001-10","14020733","ISENTO","","N","","06","",""
"SC","02.745.351/0002-38","88050000","254796818","","N","","03","",""
"SP","45.435.260/0001-28","06455010","206047872111","","N","206-2","03","",""
"SP","10.745.759/0001-57","05802140","ISENTO","","N","","06","",""
"MG","15.126.437/0025-10","36038330","ISENTO","","S","201-1","06","",""
"SP","61.409.892/0003-35","34006050","0733001100119","","N","205-4","03","",""
"SP","56.354.897/0001-06","15115000","647148490113","","N","","03","",""
"PB","29.112.611/0001-03","58041000","163058164","","N","206-2","03","",""
"SC","10.979.108/0002-02","88020010","262301989","","N","206-2","03","",""
"SP","32.431.804/0001-31","08285000","123452159111","","N","","03","",""
"RJ","03.621.867/0001-52","22230060","","","N","","04","",""
"SC","04.044.480/0001-43","89108000","254101941","","N","206-2","03","",""
"RS","96.760.616/0001-30","93010190","ISENTO","","N","","06","",""
"BA","86.783.834/0001-36","45655120","038933103","","N","206-2","03","",""
"BA","47.129.156/0001-30","45980000","ISENTO","","N","","06","",""
"MG","46.191.028/0002-35","34006053","0150543277114","","N","","03","",""
"RJ","00.000.000/1179-78","24800097","ISENTO","","S","203-8","06","UNIAO",""
"RS","00.000.000/5418-69","96810908","ISENTO","","S","203-8","06","UNIAO",""
"SP","49.018.793/0001-65","04090003","ISENTO","","N","","06","",""
"SP","03.779.133/0100-88","13971023","ISENTO","","S","307-7","06","",""
"MA","29.489.805/0001-22","65092316","126842620","","N","","03","",""
"RS","13.292.241/0001-01","93950000","ISENTO","","N","206-2","06","",""
"SP","13.419.514/0001-28","01405900","ISENTO","","N","","06","",""
"ES","27.085.570/0001-88","29700100","ISENTO","","N","","06","",""
"TO","43.457.400/0001-33","77804060","295156686","","N","","03","",""
"SP","00.000.000/5044-08","04538905","ISENTO","","S","203-8","06","UNIAO",""
"PA","83.315.408/0001-80","66083340","ISENTO","","N","","06","",""
"RS","00.000.000/3869-52","96503472","ISENTO","","S","203-8","06","UNIAO",""
"SP","00.215.548/0001-59","01307001","ISENTO","","N","","06","",""
"AM","32.983.165/0022-41","69400286","ISENTO","","N","214-3","06","",""
"PE","13.223.833/0001-63","52050005","ISENTO","","N","206-2","06","",""
"SP","68.124.858/0001-00","09930270","286110488112","","N","206-2","03","",""
"PR","51.150.216/0001-74","86035360","ISENTO","","N","","06","",""
"SC","00.960.729/0001-00","88815030","ISENTO","","N","","06","",""
"BA","00.000.000/5592-10","44740000","ISENTO","","S","203-8","06","UNIAO",""
"PE","40.849.028/0001-12","53130555","ISENTO","","N","206-2","06","",""
"BA","05.391.187/0001-15","40010030","ISENTO","","N","","06","",""
"MG","02.023.055/0001-42","30110002","ISENTO","","N","","06","",""
"RJ","33.933.094/0001-00","20030015","ISENTO","","N","399-9","06","",""
"PE","26.852.688/0002-02","53130410","ISENTO","","N","206-2","06","",""
"SP","13.518.869/0001-74","09220340","626390619110","","N","","03","",""
"SP","10.796.018/0001-03","14096175","582809220114","","N","","03","",""
"SP","24.377.646/0001-50","04565000","ISENTO","","N","206-2","06","",""
"PA","35.432.295/0001-50","68685000","156689367","","N","","03","",""
"SP","28.272.818/0001-82","09080500","ISENTO","","N","206-2","06","",""
"RS","50.290.329/0061-43","96505830","0150154291","","N","205-4","03","",""
"BA","24.233.779/0005-87","41741110","ISENTO","","N","","06","",""
"PR","57.864.574/0001-25","86050460","ISENTO","","N","205-4","06","",""
"MG","03.320.525/0001-00","38440148","ISENTO","","N","","06","",""
"GO","03.396.403/0001-90","74650300","103197800","","N","206-2","03","",""
"SP","88.616.149/0002-21","14803036","181145325114","","N","206-2","03","",""
"SP","00.075.511/0001-72","13253600","382136039110","","N","206-2","03","",""
"RJ","32.318.867/0001-86","22260006","ISENTO","","N","","06","",""
"SP","59.038.698/0001-87","13480083","ISENTO","","N","","06","",""
"RS","73.750.424/0009-02","96055150","ISENTO","","N","214-3","06","",""
"BA","59.736.354/0001-41","41231205","228620622","","N","213-5","03","",""
"SP","01.250.090/0001-31","04726220","ISENTO","","N","","06","",""
"ES","06.353.538/0001-66","29930015","082270562","","N","206-2","03","",""
"PR","36.578.492/0001-44","85640000","ISENTO","","N","206-2","06","",""
"SP","37.575.031/0001-80","03035000","129174267111","","N","206-2","03","",""
"SP","03.837.557/0001-70","04533011","ISENTO","","N","206-2","06","",""
"PR","75.986.232/0001-60","81690150","ISENTO","","N","","06","",""
"MT","45.000.687/0001-01","78460001","140183833","","N","","03","",""
"RS","58.671.323/0001-97","95607148","1410120209","","N","206-2","03","",""
"MA","29.316.596/0008-91","65800000","128223464","","N","","03","",""
"BA","09.120.605/0001-90","41950495","075362803","","N","206-2","03","",""
"RJ","08.607.567/0001-32","22461002","ISENTO","","N","223-2","06","",""
